cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_14476_+	Success	0.14900966185121	1	0.585126799469148	0.799626352849578	Map4k4
chr1:clu_14477_+	Success	7.20557544571056	4	0.0060921051114419	0.0746272277499734	Map4k4
chr1:clu_14478_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Map4k4
chr1:clu_14479_+	Success	1.04731407859543	1	0.147817671149298	0.424544699827231	Map4k4
chr1:clu_14480_+	Success	1.44496539786218	2	0.235754234015228	0.538036612325734	Il1r1
chr1:clu_14481_+	Success	3.20453237011463	2	0.0405778726277507	0.219932338730236	Il1rl1
chr1:clu_14482_+	Success	0.102555618301494	1	0.65062645384965	0.842082601442028	Il1rl1
chr1:clu_14483_+	Success	0.161119693739806	1	0.570264952927757	0.789963178770955	Mrps9
chr1:clu_14484_+	Success	1.17592195902773	1	0.125134913749013	0.392851808306382	Nck2
chr1:clu_14485_+	Success	0.327561394321833	1	0.418287081228475	0.688265312871898	Tpp2
chr1:clu_14486_+	Success	0.330451433243525	2	0.718599260603517	0.88028707328905	Tpp2
chr1:clu_14487_+	Success	0.387353334523993	1	0.378764933409021	0.65561079361771	Tpp2
chr1:clu_14488_+	Success	6.19223347593049	4	0.0147099415773443	0.123069915202467	Bivm
chr1:clu_14489_+	Success	2.6924231393624	2	0.0677166535197552	0.287094473002951	Bivm
chr1:clu_14490_+	Success	0.297724380515035	1	0.440319817770004	0.705817780381308	Bivm
chr1:clu_14491_+	Success	1.53840337121335	2	0.214723661862985	0.514190530675857	Ercc5
chr1:clu_14492_+	Success	0.0759971114334235	1	0.696636845827493	0.868343686133717	Ercc5
chr1:clu_14493_+	Success	4.27455669767278	1	0.00345690554468303	0.0524643906694794	Gulp1
chr1:clu_14494_+	Success	1.24288174177855	4	0.647186863507234	0.839901972745344	Gulp1
chr1:clu_14495_+	Success	5.7836101859566	3	0.00902274862951802	0.0936482571494138	Gulp1
chr1:clu_14496_+	Success	0.00370923253058209	2	0.996297638174761	1	Gulp1
chr1:clu_14497_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_14498_+	Success	1.70743257411925	1	0.0646116923617591	0.280760212452245	Gm28177,Stat1
chr1:clu_14499_+	Success	1.01610927850402	1	0.153995668566774	0.433309743251426	Gm28177,Stat1
chr1:clu_14500_+	Success	0.77598507666562	2	0.460250175909116	0.720286615089631	Nemp2
chr1:clu_14501_+	Not enough valid samples	NA	NA	NA	NA	Nemp2
chr1:clu_14502_+	Success	0.335619314431142	2	0.714895204308313	0.878669199932916	Hibch
chr1:clu_14503_+	Success	1.71861089572371	1	0.0637427949583167	0.279336652819465	Gm28778,Osgepl1
chr1:clu_14504_+	Success	2.85806498793613	2	0.0573796832915501	0.265594079851128	Osgepl1
chr1:clu_14505_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Hspe1
chr1:clu_14506_+	Success	0.30647070528812	2	0.736040079945609	0.890788142130118	Mob4
chr1:clu_14507_+	Success	1.02760650078517	2	0.357862479882934	0.640147582088625	1700066M21Rik,Maip1
chr1:clu_14508_+	Success	0.00396208685810961	1	0.929067741607667	0.980419606469622	Maip1
chr1:clu_14509_+	Success	0.772388411135125	2	0.461908522323208	0.721184867198258	Spats2l
chr1:clu_14510_+	Success	0.0215256544747717	1	0.835628690354111	0.942196505015591	Spats2l
chr1:clu_14511_+	Success	1.57159767613274	1	0.0762442998327763	0.305098524654776	Nif3l1
chr1:clu_14512_+	Success	2.37799404474663	2	0.092736416157192	0.33665480173542	Nif3l1
chr1:clu_14513_+	Success	0.0910418068015133	2	0.912979541346927	0.975327595481464	Ndufb3
chr1:clu_14514_+	Success	0.166148486671318	3	0.953844127017313	0.990268628935526	Cflar
chr1:clu_14515_+	Success	5.60951538943391	5	0.0472060925278415	0.239956351939819	Cflar
chr1:clu_14516_+	Success	0.181386231951819	2	0.834113135329019	0.940788974254932	Cflar
chr1:clu_14517_+	Success	1.90360539002177	3	0.283048509445112	0.585428064640887	Casp8
chr1:clu_14518_+	Success	0.110179606493546	1	0.638766352322533	0.834423384237384	Casp8
chr1:clu_14519_+	Success	0.716105728618459	2	0.48865149702009	0.735332890940234	Stradb
chr1:clu_14520_+	Not enough valid samples	NA	NA	NA	NA	Cdk15
chr1:clu_14521_+	Success	5.04610630855018	2	0.00643433806163278	0.0773021167389893	Nop58
chr1:clu_14522_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Nop58
chr1:clu_14523_+	Success	7.10532253265228e-05	1	0.990488770265772	1	Bmpr2
chr1:clu_14524_+	Not enough valid samples	NA	NA	NA	NA	Carf
chr1:clu_14525_+	Not enough valid samples	NA	NA	NA	NA	Carf
chr1:clu_14526_+	Success	0.000822093898023013	1	0.967655773142106	0.994294889630968	Nbeal1
chr1:clu_14527_+	Success	2.88053836245922	1	0.0163850280438079	0.131377367366457	Cyp20a1
chr1:clu_14528_+	Success	0.00263552239266573	1	0.942122865945664	0.985713775895311	Cyp20a1
chr1:clu_14529_+	Success	0.380842848356224	1	0.382801502507957	0.658313362674222	Abi2
chr1:clu_14530_+	Success	0.571306225652393	2	0.564787217111379	0.786546628386995	Abi2
chr1:clu_14531_+	Success	1.47887487889057	6	0.814130710609441	0.931440458784479	Nrp2
chr1:clu_14532_+	Success	0.929832261979755	2	0.39461989758076	0.668768080977579	Creb1
chr1:clu_14533_+	Success	3.28879396689013	3	0.0866523391654851	0.325681859117057	Creb1
chr1:clu_14534_+	Success	0.06647996594711	2	0.935681661164446	0.982979486839206	Ccnyl1
chr1:clu_14535_+	Success	0.238945754355939	1	0.489378931940694	0.735907854002396	Pikfyve
chr1:clu_14536_+	Success	2.95740722506622	1	0.0150140841619882	0.124902137761569	Pikfyve
chr1:clu_14537_+	Not enough valid samples	NA	NA	NA	NA	Pikfyve
chr1:clu_14538_+	Success	4.73059338539792	4	0.0505509114825328	0.247699641835814	Rpe
chr1:clu_14539_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Atic
chr1:clu_14540_+	Success	0.00212004594459358	1	0.948081650889807	0.988279818831839	Atic
chr1:clu_14541_+	Success	3.1917527512062	1	0.0115185706734801	0.107221433508703	Smarcal1
chr1:clu_14542_+	Success	2.54657893408512	1	0.0240204136989358	0.163444662675828	Rpl37a
chr1:clu_14543_+	Success	3.69520234293304	5	0.193186386660076	0.488530378448113	Igfbp2
chr1:clu_14544_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Igfbp2
chr1:clu_14545_+	Success	0.0376168219499959	1	0.783863674096684	0.915617269749431	Igfbp2
chr1:clu_14546_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_14547_+	Success	0.106543746261195	1	0.644358147247924	0.838016378419075	Arpc2
chr1:clu_14548_+	Success	0.0123632183332347	1	0.87505064529428	0.960738259160183	Pnkd
chr1:clu_14549_+	Success	1.78565748427991	3	0.311629913986545	0.607215592230299	Pnkd
chr1:clu_14550_+	Success	3.96852110706914	2	0.0189013655714465	0.142431822839971	Ctdsp1
chr1:clu_14551_+	Success	0.119564905273364	2	0.887306415084606	0.96588057786991	Ctdsp1
chr1:clu_14552_+	Success	0.113568894440959	1	0.633654284401823	0.830854105648066	Cnot9
chr1:clu_14553_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Cnot9
chr1:clu_14554_+	Success	0.00701638017898176	1	0.905703224852629	0.972851712660534	Cnot9
chr1:clu_14555_+	Success	0.0769938191481003	1	0.694753387408421	0.867542305352234	Plcd4
chr1:clu_14556_+	Success	0.664419754047742	2	0.51457201943037	0.754275707802526	Plcd4
chr1:clu_14557_+	Success	6.54727818083666	4	0.0108228981695356	0.103634774146941	Bcs1l
chr1:clu_14558_+	Success	1.99051998640971	3	0.263518762057218	0.564725791210554	Bcs1l
chr1:clu_14559_+	Success	1.13790727960281	1	0.131406068467685	0.401935885879525	Stk36
chr1:clu_14560_+	Success	2.52635082426923	2	0.0799502410842274	0.311955043292097	Ttll4
chr1:clu_14561_+	Success	0.134885831187717	2	0.873815668490394	0.960229608055592	Retreg2
chr1:clu_14562_+	Success	1.53611920464027	6	0.799727083083178	0.924449976321399	Retreg2
chr1:clu_14563_+	Success	0.517067065340143	1	0.309189653259197	0.605413288801072	Retreg2
chr1:clu_14564_+	Success	0.0355176041106233	1	0.789835439020718	0.919659114456324	Retreg2
chr1:clu_14565_+	Success	0.230423816664143	1	0.497228096876164	0.742303744291566	Zfand2b
chr1:clu_14566_+	Success	1.14129563584265	1	0.130833120062049	0.40108889415484	Zfand2b
chr1:clu_14567_+	Success	4.51305363398478	4	0.0604502258498074	0.272245266133744	Ankzf1
chr1:clu_14568_+	Success	0.0275889319038072	1	0.814286591098841	0.931473326140394	Ankzf1
chr1:clu_14569_+	Success	1.8606815593721	4	0.445026407687661	0.708858815929223	Stk16
chr1:clu_14570_+	Success	0.144364833787222	1	0.591035741438027	0.803273792196849	Stk16
chr1:clu_14571_+	Success	1.95395302660836	3	0.271581867718025	0.574313992013639	Stk16
chr1:clu_14572_+	Success	0.340996440595802	1	0.408901326264014	0.680844510404391	Dnajb2
chr1:clu_14573_+	Success	0.377463382676069	2	0.685598305899918	0.863584041413685	Dnajb2
chr1:clu_14574_+	Success	3.35321682669928	3	0.081867290985243	0.315686730167192	Dnajb2
chr1:clu_14575_+	Success	0.280924899561342	3	0.905107684272158	0.972680162789477	Speg
chr1:clu_14576_+	Success	0.0302760966385733	1	0.805625295691237	0.926529407994757	Speg
chr1:clu_14577_+	Success	7.06989875657814	1	0.000169714995475511	0.00642471626958156	Speg
chr1:clu_14578_+	Success	2.20382268223875	8	0.818600212990849	0.933943842716826	Speg
chr1:clu_14579_+	Success	0.0399044708065048	1	0.77755649424422	0.913106873671391	Speg
chr1:clu_14580_+	Success	0.0134216200700621	1	0.869857835558288	0.958446395515111	Speg
chr1:clu_14581_+	Success	1.40435382660382	1	0.0937538749406923	0.338741679101192	Speg
chr1:clu_14582_+	Success	14.2301802665352	10	0.00152278772133458	0.0306149753871004	Gmppa
chr1:clu_14583_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Gmppa
chr1:clu_14584_+	Success	0.258957979359707	1	0.471732031055506	0.726788727268444	Gmppa
chr1:clu_14585_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_14586_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Inha
chr1:clu_14587_+	Success	2.25363375252914	4	0.341686611359897	0.627474375642028	Slc4a3
chr1:clu_14588_+	Success	1.01530700898701	1	0.154158314974976	0.433363525365513	Slc4a3
chr1:clu_14589_+	Success	0.121503036002878	1	0.622043351862235	0.824287046283568	Slc4a3
chr1:clu_14590_+	Success	0.226194664813193	1	0.501202478377596	0.744953179560638	Slc4a3
chr1:clu_14591_+	Success	0.474855335294251	3	0.813417871853659	0.930987958273079	Acsl3,Utp14b
chr1:clu_14592_+	Success	2.06922659963584	1	0.0419194574459512	0.223473110060896	Rhbdd1
chr1:clu_14593_+	Success	0.487811244971454	2	0.613968751795396	0.818771147565825	Rhbdd1
chr1:clu_14594_+	Success	1.03788955163691	2	0.354201417509995	0.637546420601347	Rhbdd1
chr1:clu_14595_+	Success	0.428104868530681	2	0.651743063877374	0.842956146468289	Mff
chr1:clu_14596_+	Success	1.24317116635029	1	0.114838333555805	0.375714342895894	Mff
chr1:clu_14597_+	Success	10.4210079505647	8	0.0075791525883908	0.0836987597323985	Mff
chr1:clu_14598_+	Success	1.46615384283439	1	0.0868233057066664	0.325728721026426	Agfg1
chr1:clu_14599_+	Success	0.845168833925527	2	0.429484840477612	0.697823670567419	Agfg1
chr1:clu_14600_+	Success	0.538755080359124	1	0.299255218462712	0.598225972215547	Agfg1
chr1:clu_14601_+	Success	0.671217626491853	1	0.246604962646164	0.548450683191462	Agfg1
chr1:clu_14602_+	Success	1.52332096687769	2	0.21798675675302	0.518263219762752	Agfg1
chr1:clu_14603_+	Success	1.85751387992013	1	0.0539247280691146	0.257616529051429	Agfg1
chr1:clu_14604_+	Success	0.191128703009213	1	0.536397580132406	0.769110213828133	Fbxo36
chr1:clu_14605_+	Success	1.0680724432973	2	0.343670323414923	0.629797944410565	Gm6264,Gm2427
chr1:clu_14606_+	Success	0.489227295598312	1	0.322580640739695	0.614223173000965	Gm2427,Gm6264
chr1:clu_14607_+	Success	0.883799507320987	1	0.183679499210316	0.475067620423037	Gm2427,Sp140
chr1:clu_14608_+	Success	1.01112026459634	2	0.363811186404165	0.644023362255885	Cab39
chr1:clu_14609_+	Success	0.0921109111227452	2	0.912003992548714	0.975043515834622	Itm2c
chr1:clu_14610_+	Success	1.00542453912203	3	0.570157994047192	0.789963178770955	Psmd1
chr1:clu_14611_+	Success	6.09545261445442	1	0.000480230736874778	0.0138320143425652	Psmd1
chr1:clu_14612_+	Success	0.024534317269854	1	0.824691916481998	0.936765296885372	Psmd1
chr1:clu_14613_+	Success	2.78401599845802	2	0.0617898604444292	0.275224421407715	Gm21972,Armc9
chr1:clu_14614_+	Success	6.65544475850766e-05	1	0.990794784370348	1	Armc9
chr1:clu_14615_+	Success	3.02921142658442	2	0.0483537535802923	0.242775563112917	Armc9
chr1:clu_14616_+	Success	3.3144330021687	2	0.0363546557456435	0.206569078466935	Armc9
chr1:clu_14617_+	Success	0.306411248572715	1	0.433727065022393	0.701156903810192	Armc9
chr1:clu_14618_+	Success	1.00193146197489	1	0.156898904908766	0.437768469456577	Ptma
chr1:clu_14619_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_14620_+	Success	3.11756439086457	2	0.044264849103287	0.229587893858289	Ptma
chr1:clu_14621_+	Success	0.0398082945248461	1	0.777817671156087	0.913106873671391	Ptma
chr1:clu_14622_+	Success	2.44053015432746	2	0.087114655006101	0.326181351006304	Cops7b
chr1:clu_14623_+	Success	3.75668575833151	2	0.0233610363354395	0.160383901175016	Cops7b
chr1:clu_14624_+	Success	0.0252002810470913	2	0.975114595497666	0.996478668000189	Cops7b
chr1:clu_14625_+	Success	3.43021341051644	4	0.143450442237883	0.417913917459465	Dis3l2
chr1:clu_14626_+	Success	0.303384622816338	2	0.73831506893111	0.892069473429496	Dis3l2
chr1:clu_14627_+	Success	1.75273381192346	2	0.173299526950067	0.459869014211897	Eif4e2
chr1:clu_14628_+	Success	1.07592480721178	5	0.827759801665156	0.938177389664033	Eif4e2
chr1:clu_14629_+	Success	1.21393899769328	3	0.488466241256768	0.735289143564468	Gigyf2
chr1:clu_14630_+	Success	0.118634102172564	2	0.888132707145075	0.966182562503847	Gigyf2
chr1:clu_14631_+	Success	0.806426062695891	2	0.446450805540739	0.709581022395374	Gigyf2
chr1:clu_14632_+	Success	0.13586904599299	1	0.602168221512882	0.811015088239577	Gigyf2
chr1:clu_14633_+	Success	0.14014200762324	1	0.596515123507562	0.806401101615251	Gigyf2
chr1:clu_14634_+	Success	8.47839834284514	4	0.00197066743912008	0.0365733217328806	Atg16l1
chr1:clu_14635_+	Success	1.82383161738244	2	0.16140611810624	0.444126547966822	Atg16l1
chr1:clu_14636_+	Success	1.51236757755368	1	0.0820037087270396	0.315701552281124	Atg16l1
chr1:clu_14637_+	Success	1.55805482797405	4	0.538586216045194	0.770311829782284	Dgkd
chr1:clu_14638_+	Success	3.82413246031138	2	0.0218373721027357	0.154773432113469	Dgkd
chr1:clu_14639_+	Success	2.10291413837786	2	0.122100092733474	0.388482580031232	Dgkd
chr1:clu_14640_+	Success	0.841417713275064	1	0.194548116691588	0.489880522245684	Dgkd
chr1:clu_14641_+	Success	13.4319979657776	4	2.11779472148854e-05	0.00124680737399207	Ugt1a10,Ugt1a9,Ugt1a8,Ugt1a7c,Ugt1a6b,Ugt1a6a,Ugt1a5,Ugt1a2,Ugt1a1
chr1:clu_14642_+	Not enough valid samples	NA	NA	NA	NA	Ugt1a6b,Ugt1a7c,Ugt1a6a
chr1:clu_14643_+	Success	1.06680071016081	2	0.344107658380981	0.630052747085542	Mroh2a
chr1:clu_14644_+	Success	0.52710145990477	2	0.590313539766455	0.80254010198555	Mroh2a
chr1:clu_14645_+	Success	12.4034364118706	9	0.00319240972323913	0.0501302304711672	Sh3bp4
chr1:clu_14646_+	Success	5.93373352406388	1	0.000571230501277847	0.01554153093353	Agap1
chr1:clu_14647_+	Success	2.73187841188474	1	0.0194148610303718	0.144622485843947	Agap1
chr1:clu_14648_+	Success	0.984374878301765	1	0.160580630797513	0.442917712931468	Agap1
chr1:clu_14649_+	Success	5.2866037014428	7	0.158349266601689	0.439864626793361	Agap1
chr1:clu_14650_+	Success	0.542546495001034	3	0.780673859293131	0.913892528106469	Ackr3,Gm28723
chr1:clu_14651_+	Success	14.2344962822617	3	2.89524270358954e-06	0.000274005146834874	NA
chr1:clu_14652_+	Success	2.66533746798791	4	0.255019042966909	0.555925723015046	NA
chr1:clu_14653_+	Success	3.51550164883156	2	0.0297328837459187	0.185008113318984	Cops8
chr1:clu_14654_+	Success	5.01381384125398	1	0.00154209522642561	0.0308121478669354	Lrrfip1
chr1:clu_14655_+	Success	4.4004981264743	8	0.359360953491994	0.641058308044467	Lrrfip1
chr1:clu_14656_+	Success	6.33325521444931	2	0.00177624229838081	0.0339860795417364	Lrrfip1
chr1:clu_14657_+	Success	0.862391813280283	3	0.631437957663966	0.829492714086477	Lrrfip1
chr1:clu_14658_+	Success	0.556696386485783	1	0.291345622362377	0.59337695134154	Lrrfip1
chr1:clu_14659_+	Success	6.63304097510991	10	0.209173052555252	0.507312378634623	Ube2f
chr1:clu_14660_+	Success	0.366069034363136	1	0.392191033903355	0.666899031085853	Ube2f
chr1:clu_14661_+	Success	4.07804787922942	8	0.418372783292501	0.688265312871898	Scly
chr1:clu_14662_+	Success	0.398131286896387	2	0.671573853027191	0.855163913437285	Scly
chr1:clu_14663_+	Success	4.66896622938111	2	0.00938196331358795	0.0956840673285566	Traf3ip1
chr1:clu_14664_+	Success	0.127491987186602	1	0.613587367034566	0.818379938014052	Traf3ip1
chr1:clu_14665_+	Success	0.808600775876357	1	0.203482433144342	0.501798680045651	Asb1
chr1:clu_14666_+	Success	0.138796727744648	2	0.870404939652227	0.958747146780436	Asb1
chr1:clu_14667_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	Gpc1
chr1:clu_14668_+	Success	0.855465971387503	1	0.190864500328186	0.48581269051094	Gpc1
chr1:clu_14669_+	Success	0.175295029231791	1	0.553779302213936	0.779904417143521	Rnpepl1
chr1:clu_14670_+	Success	0.0459969110252132	2	0.955044912295813	0.990494054742426	Rnpepl1
chr1:clu_14671_+	Success	7.99793637760376	3	0.00113619582876525	0.0248144605133432	Rnpepl1
chr1:clu_14672_+	Success	1.13986332540526	3	0.516415864491401	0.755547612993607	Rnpepl1
chr1:clu_14673_+	Success	0.00505977615205211	1	0.919871183627146	0.977984685956916	Capn10
chr1:clu_14674_+	Success	2.12466584462891	3	0.235769024152674	0.538036612325734	Capn10
chr1:clu_14675_+	Success	5.52090165228947e-06	1	0.997348697596685	1	Capn10
chr1:clu_14676_+	Not enough valid samples	NA	NA	NA	NA	Sned1
chr1:clu_14677_+	Success	2.10685274111665	2	0.121620134776138	0.387726561003717	Sned1
chr1:clu_14678_+	Success	0.454049940372272	1	0.340619079409754	0.626689577360222	Sned1
chr1:clu_14679_+	Success	5.15692105241851	5	0.0668156544294745	0.285546329673153	Septin2
chr1:clu_14680_+	Success	0.590974825738499	1	0.27695944242062	0.579911628991337	Bok
chr1:clu_14681_+	Success	2.11944483882689	5	0.515559151975988	0.755023939453686	Atg4b
chr1:clu_14682_+	Success	0.250434582264006	1	0.479118467612699	0.730832022169614	Atg4b
chr1:clu_14683_+	Success	1.38789877237139	1	0.0956989769129748	0.34211801190071	D2hgdh
chr1:clu_14684_+	Success	0.232600222861663	1	0.495203514237477	0.740240103695848	D2hgdh
chr1:clu_14685_+	Success	1.89478568177401	5	0.580092630967362	0.796036809247009	D2hgdh
chr1:clu_14686_+	Success	2.42545082171273	2	0.0884382401747267	0.32856201843286	D2hgdh
chr1:clu_14687_+	Success	3.57497821422749	2	0.028016036118563	0.17900772551545	Gm18666
chr1:clu_14688_+	Success	0.000117223533493416	1	0.987783536721722	1	Gin1
chr1:clu_14689_+	Success	2.11586054587147	1	0.039675189282065	0.217300048827689	Gin1
chr1:clu_14690_+	Success	0.528255217893559	1	0.304012425093491	0.601295586395588	Relch
chr1:clu_14691_+	Success	1.21075253637082	1	0.119679894723674	0.384438902704531	Relch
chr1:clu_14692_+	Success	0.38787151272453	1	0.378446244123248	0.65561079361771	Relch
chr1:clu_14693_+	Success	0.610284950671826	1	0.269248837647859	0.571309943239544	Zcchc2
chr1:clu_14694_+	Success	0.116670626948462	2	0.889878246812424	0.967048194498869	Clasp1
chr1:clu_14695_+	Success	0.0167234802701728	1	0.854888172613391	0.952205876196383	Clasp1
chr1:clu_14696_+	Success	3.30191234746417	2	0.0368127013688339	0.207261668576567	Clasp1
chr1:clu_14697_+	Success	0.377837711503389	3	0.860036794933363	0.954407294888305	Clasp1
chr1:clu_14698_+	Success	0.310298206380992	1	0.430825741596594	0.698712505005053	Tfcp2l1
chr1:clu_14699_+	Success	0.823401466233008	2	0.438936086109922	0.704852392245298	Tfcp2l1
chr1:clu_14700_+	Success	0.775981571857869	1	0.212845861560836	0.511948364448333	Tfcp2l1
chr1:clu_14701_+	Success	0.265374994514559	2	0.766918305888926	0.907738557490329	3110009E18Rik
chr1:clu_14702_+	Success	4.39014184050086	1	0.00304503840015149	0.0485084262062142	Ccdc93
chr1:clu_14703_+	Success	3.33861319201105	1	0.00976524592110568	0.0976691045166042	Slc35f5
chr1:clu_14704_+	Success	1.73095165627615	2	0.177115776401791	0.46599780922988	Slc35f5
chr1:clu_14705_+	Success	7.91867422523364	5	0.00732412467683173	0.0821979993583435	Mgat5
chr1:clu_14706_+	Success	0.287873313664875	1	0.447984353325714	0.710948654805436	Ccnt2
chr1:clu_14707_+	Success	0.0289160418806205	1	0.809955823792858	0.929101759269159	Rab3gap1
chr1:clu_14708_+	Success	1.62122089939123	1	0.071753623510884	0.295803052614073	Rab3gap1
chr1:clu_14709_+	Success	0.306107267656159	1	0.433955214818711	0.701461308214303	Rab3gap1
chr1:clu_14710_+	Success	1.09148352456259	4	0.702148829196484	0.871473344747437	R3hdm1
chr1:clu_14711_+	Success	2.54092827623936	4	0.279001154676958	0.581697949998402	R3hdm1
chr1:clu_14712_+	Success	1.34637087176338	2	0.260182786034153	0.561846458606444	R3hdm1
chr1:clu_14713_+	Success	0.213441299595615	2	0.807799576920684	0.927430339386194	R3hdm1
chr1:clu_14714_+	Success	1.68892603674067	2	0.184717797632632	0.476816064925325	Ubxn4
chr1:clu_14715_+	Success	1.17028765962596	1	0.126042995627667	0.39408699201246	Ubxn4
chr1:clu_14716_+	Success	2.38478188272893	2	0.0921090679669351	0.335623250553086	Yod1,AA986860
chr1:clu_14717_+	Success	0.0746269748342456	3	0.985332887870757	0.999528313558977	Eif2d
